date,price
10-Feb-2014 00:29:06,333
10-Feb-2014 00:30:06,331
10-Feb-2014 00:30:36,332
10-Feb-2014 00:31:06,331
10-Feb-2014 00:32:06,330
10-Feb-2014 00:34:06,329
10-Feb-2014 00:36:36,328
10-Feb-2014 00:37:36,327
10-Feb-2014 00:40:35,326
10-Feb-2014 00:42:35,324
10-Feb-2014 00:43:05,325
10-Feb-2014 00:45:35,324
10-Feb-2014 00:46:35,107
10-Feb-2014 00:47:35,108
10-Feb-2014 00:48:05,107
10-Feb-2014 01:01:35,108
10-Feb-2014 01:02:05,107
10-Feb-2014 01:05:05,336
10-Feb-2014 01:05:35,682
10-Feb-2014 01:06:05,274
10-Feb-2014 01:06:35,641
10-Feb-2014 01:07:05,638
10-Feb-2014 01:07:35,637
10-Feb-2014 01:08:05,634
10-Feb-2014 01:08:35,632
10-Feb-2014 01:09:05,631
10-Feb-2014 01:09:35,630
10-Feb-2014 01:10:05,628
10-Feb-2014 01:11:05,627
10-Feb-2014 01:11:35,626
10-Feb-2014 01:12:05,625
10-Feb-2014 01:12:35,624
10-Feb-2014 01:13:05,623
10-Feb-2014 01:14:05,620
10-Feb-2014 01:14:35,621
10-Feb-2014 01:15:06,620
10-Feb-2014 01:16:05,618
10-Feb-2014 01:16:36,619
10-Feb-2014 01:17:05,618
10-Feb-2014 01:18:35,617
10-Feb-2014 01:19:35,616
10-Feb-2014 01:20:36,615
10-Feb-2014 01:21:06,617
10-Feb-2014 01:21:36,703
10-Feb-2014 01:22:06,705
10-Feb-2014 01:22:36,701
10-Feb-2014 01:23:06,703
10-Feb-2014 01:23:36,702
10-Feb-2014 01:24:06,335
10-Feb-2014 01:24:36,334
10-Feb-2014 01:25:06,333
10-Feb-2014 01:26:06,332
10-Feb-2014 01:27:06,331
10-Feb-2014 01:28:36,330
10-Feb-2014 01:29:06,329
10-Feb-2014 01:29:36,330
10-Feb-2014 01:30:06,329
10-Feb-2014 01:30:36,328
10-Feb-2014 01:31:06,329
10-Feb-2014 01:31:36,328
10-Feb-2014 01:32:36,327
10-Feb-2014 01:34:06,326
10-Feb-2014 01:35:06,327
10-Feb-2014 01:37:06,326
10-Feb-2014 01:37:36,325
10-Feb-2014 01:38:06,326
10-Feb-2014 01:39:06,325
10-Feb-2014 01:40:06,324
10-Feb-2014 01:40:36,325
10-Feb-2014 01:41:06,107
10-Feb-2014 01:42:06,106
10-Feb-2014 01:42:36,107
10-Feb-2014 01:43:06,106
10-Feb-2014 01:47:36,107
10-Feb-2014 01:50:06,106
10-Feb-2014 01:54:06,107
10-Feb-2014 01:54:36,106
10-Feb-2014 01:58:06,107
10-Feb-2014 02:00:06,106
10-Feb-2014 02:00:36,107
10-Feb-2014 02:01:06,106
10-Feb-2014 02:02:06,107
10-Feb-2014 02:02:36,106
10-Feb-2014 02:03:36,108
10-Feb-2014 02:04:06,107
10-Feb-2014 02:05:06,106
10-Feb-2014 02:06:06,107
10-Feb-2014 02:06:36,106
10-Feb-2014 02:15:06,107
10-Feb-2014 02:15:36,106
10-Feb-2014 02:16:36,343
10-Feb-2014 02:17:06,341
10-Feb-2014 02:17:36,336
10-Feb-2014 02:18:06,334
10-Feb-2014 02:18:36,333
10-Feb-2014 02:19:06,574
10-Feb-2014 02:19:36,872
10-Feb-2014 02:20:06,508
10-Feb-2014 02:20:36,853
10-Feb-2014 02:21:06,851
10-Feb-2014 02:21:36,848
10-Feb-2014 02:22:07,846
10-Feb-2014 02:22:44,844
10-Feb-2014 02:23:07,843
10-Feb-2014 02:23:37,840
10-Feb-2014 02:24:07,839
10-Feb-2014 02:24:37,838
10-Feb-2014 02:25:07,836
10-Feb-2014 02:25:37,835
10-Feb-2014 02:26:37,833
10-Feb-2014 02:27:37,831
10-Feb-2014 02:28:07,830
10-Feb-2014 02:29:37,827
10-Feb-2014 02:30:37,828
10-Feb-2014 02:31:07,837
10-Feb-2014 02:31:37,691
